0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
10117222@N04,1,1,53,0.018867924528301886,100,1.0,16.0,0.0625,101,1.0,4.0,0.25,108,1.0,3.0,0.3333333333333333,214,1.0,1.0,1.0,216,1.0,1.0,1.0,220,1.0,3.0,0.3333333333333333,221,1.0,2.0,0.5,222,1.0,2.0,0.5,229,1.0,1.0,1.0,230,1.0,1.0,1.0,231,1.0,2.0,0.5,234,1.0,1.0,1.0,235,1.0,1.0,1.0,236,1.0,2.0,0.5,240,1.0,1.0,1.0,246,1.0,1.0,1.0,262,1.0,2.0,0.5,266,1.0,1.0,1.0,27,1.0,15.0,0.06666666666666668,39,1.0,8.0,0.125,47,1.0,5.0,0.2,54,1.0,4.0,0.25,70,1.0,13.0,0.07692307692307693,72,1.0,7.0,0.14285714285714285,81,1.0,5.0,0.2,84,1.0,1.0,1.0,93,1.0,1.0,1.0,94,1.0,4.0,0.25,97,1.0,2.0,0.5,bok,11.0,18.0,0.6111111111111112,boktowergarden,4.0,13.0,0.3076923076923077,cathedral,16.0,85.0,0.18823529411764706,chartre,30.0,20.0,1.5,garden,11.0,44.0,0.25,japaneselantern,1.0,1.0,1.0,picture,15.0,37.0,0.40540540540540543,snake,1.0,6.0,0.16666666666666666,swan,2.0,4.0,0.5,tower,11.0,103.0,0.10679611650485436
10261566@N02,45,1,6,0.16666666666666666,amphitheatre,10.0,6.0,1.6666666666666667,amphitheatrum,10.0,4.0,2.5,amphitheatrumflavium,2.0,1.0,2.0,anfiteatro,10.0,4.0,2.5,arch,2.0,24.0,0.08333333333333333,arkansa,1.0,1.0,1.0,art,2.0,48.0,0.04166666666666666,coliseum,23.0,6.0,3.8333333333333335,colosseo,10.0,5.0,2.0,colosseum,36.0,20.0,1.8,cross,1.0,20.0,0.05,fellow,1.0,2.0,0.5,flavian,10.0,7.0,1.4285714285714286,flavianamphitheatre,13.0,3.0,4.333333333333333,flavio,10.0,4.0,2.5,flavium,10.0,5.0,2.0,ilcolosseo,2.0,1.0,2.0,imperialrome,1.0,1.0,1.0,inside,2.0,55.0,0.03636363636363636,italia,11.0,15.0,0.7333333333333333,italian,10.0,8.0,1.25,italy,13.0,31.0,0.41935483870967744,julioclaudianartromanportraitureandcoin,2.0,1.0,2.0,latin,10.0,8.0,1.25,missouri,1.0,2.0,0.5,morning,1.0,15.0,0.06666666666666668,mrgstravel,13.0,1.0,13.0,number,1.0,12.0,0.08333333333333333,originally,10.0,26.0,0.38461538461538464,portal,1.0,17.0,0.05882352941176471,roma,13.0,22.0,0.5909090909090909,roman,6.0,34.0,0.17647058823529413,romancolosseum,11.0,1.0,11.0,romanempire,2.0,3.0,0.6666666666666666,romanportrait,2.0,1.0,2.0,rome,13.0,40.0,0.325,sculpture,6.0,68.0,0.08823529411764706,sun,1.0,26.0,0.038461538461538464,trajan',1.0,1.0,1.0
10288162@N07,20102405,1,1,1.0,24052010,1.0,1.0,1.0,abbatiale,8.0,1.0,8.0,abbaye,8.0,1.0,8.0,abbayededaoula,8.0,1.0,8.0,arc,19.0,22.0,0.8636363636363636,arcdetriomphe,15.0,17.0,0.8823529411764706,avenue,1.0,12.0,0.08333333333333333,bretagne,8.0,1.0,8.0,brittany,8.0,1.0,8.0,car,1.0,16.0,0.0625,carrousel,2.0,8.0,0.25,champ,4.0,9.0,0.4444444444444444,champselysees,2.0,2.0,1.0,champselysée,1.0,2.0,0.5,champsélysée,2.0,3.0,0.6666666666666666,colimaçon,2.0,1.0,2.0,daoula,16.0,1.0,16.0,de,31.0,134.0,0.23134328358208955,du,1.0,27.0,0.037037037037037035,elysees,2.0,2.0,1.0,elysée,1.0,3.0,0.3333333333333333,escalier,4.0,2.0,2.0,escargot,2.0,1.0,2.0,europe,15.0,43.0,0.3488372093023256,europefrance,2.0,1.0,2.0,finistère,8.0,1.0,8.0,france,15.0,60.0,0.25,fz18,2.0,1.0,2.0,fz200,1.0,1.0,1.0,fz28,11.0,1.0,11.0,iledefrance,3.0,2.0,1.5,illumination,2.0,3.0,0.6666666666666666,l'abbaye,8.0,1.0,8.0,light,2.0,50.0,0.04,lumiere,1.0,1.0,1.0,lumix,13.0,4.0,3.25,lumixfz200,1.0,1.0,1.0,lumixfz28,11.0,1.0,11.0,lumière,1.0,2.0,0.5
10297518@N00,argentina,30,19,1.5789473684210529,autonomouscityofbuenosaire,15.0,1.0,15.0,buenosaire,15.0,16.0,0.9375,casa,30.0,47.0,0.6382978723404256,casarosada,15.0,18.0,0.8333333333333334,ciudaddebuenosaire,15.0,1.0,15.0,de,15.0,134.0,0.11194029850746268,del,15.0,16.0,0.9375,federal,15.0,8.0,1.875,gobierno,15.0,4.0,3.75,la,15.0,73.0,0.2054794520547945,microcentro,15.0,2.0,7.5,monserrat,15.0,2.0,7.5,rosada,30.0,20.0,1.5,sede,15.0,4.0,3.75,southamerica,15.0,10.0,1.5,sudamerica,15.0,2.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10298101@N05,arizona,15,18,0.8333333333333334,castle,15.0,42.0,0.35714285714285715,dsc_0043,1.0,1.0,1.0,dsc_0044,1.0,1.0,1.0,dsc_0045,1.0,1.0,1.0,dsc_0046,1.0,1.0,1.0,dsc_0047,1.0,1.0,1.0,dsc_0048,1.0,1.0,1.0,dsc_0049,1.0,1.0,1.0,dsc_0050,1.0,1.0,1.0,dsc_0052,1.0,1.0,1.0,dsc_0054,1.0,1.0,1.0,dsc_0057,1.0,1.0,1.0,dsc_0062,1.0,1.0,1.0,dsc_0063,1.0,1.0,1.0,dsc_0064,1.0,1.0,1.0,dsc_0065,1.0,1.0,1.0,montezuma,15.0,16.0,0.9375,montezumacastle,15.0,7.0,2.142857142857143,puebloruin,15.0,2.0,7.5,sinagua,15.0,5.0,3.0,springbreak2012,15.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10347442@N00,1100,15,5,3.0,1425,15.0,1.0,15.0,20room,15.0,1.0,15.0,apartment,15.0,5.0,3.0,arizona,15.0,18.0,0.8333333333333334,beavercreek,15.0,1.0,15.0,built,15.0,50.0,0.3,castle,30.0,42.0,0.7142857142857143,ce,15.0,6.0,2.5,cliff,30.0,14.0,2.142857142857143,culture,15.0,12.0,1.25,dwelling,15.0,8.0,1.875,limestone,30.0,10.0,3.0,montezuma,30.0,16.0,1.875,montezumacastlenationalmonument,15.0,4.0,3.75,monument,30.0,63.0,0.4761904761904762,national,30.0,47.0,0.6382978723404256,presidenttheodoreroosevelt,15.0,1.0,15.0,sinagua,30.0,5.0,6.0,southern,15.0,8.0,1.875,verdevalley,15.0,2.0,7.5,vision:car0507,1.0,1.0,1.0,vision:car0535,1.0,1.0,1.0,vision:clouds0546,1.0,1.0,1.0,vision:clouds0652,1.0,2.0,0.5,vision:clouds0688,1.0,1.0,1.0,vision:clouds0721,1.0,1.0,1.0,vision:mountain0564,1.0,1.0,1.0,vision:mountain0582,1.0,2.0,0.5,vision:mountain0593,1.0,1.0,1.0,vision:mountain0595,1.0,2.0,0.5,vision:mountain0648,1.0,1.0,1.0,vision:mountain0674,1.0,1.0,1.0,vision:mountain0713,1.0,1.0,1.0,vision:mountain0735,1.0,1.0,1.0,vision:mountain0762,1.0,1.0,1.0,vision:mountain0822,1.0,1.0,1.0,vision:mountain0823,1.0,1.0,1.0,vision:outdoor0891,1.0,1.0,1.0,vision:outdoor0911,1.0,1.0,1.0
10443569@N05,3octubre2007,1,1,1.0,alemania,26.0,6.0,4.333333333333333,anochecer,8.0,2.0,4.0,arqueológica,2.0,1.0,2.0,berlincathedral,15.0,7.0,2.142857142857143,berliner,13.0,14.0,0.9285714285714286,berlinerdom,15.0,12.0,1.25,berlín,26.0,1.0,26.0,berlínalemaniaberlínalemaniagermany,1.0,1.0,1.0,berlínalemaniagermany,1.0,1.0,1.0,cabeza,2.0,2.0,1.0,catedral,10.0,5.0,2.0,catedraldeberlín,15.0,1.0,15.0,cathedral,5.0,85.0,0.05882352941176471,cenote,21.0,3.0,7.0,chicheitza,15.0,1.0,15.0,chichen,36.0,17.0,2.117647058823529,de,7.0,134.0,0.05223880597014925,destruida,1.0,1.0,1.0,detail,2.0,47.0,0.0425531914893617,detalle,2.0,3.0,0.6666666666666666,dom,18.0,24.0,0.75,dsc02843,1.0,1.0,1.0,dsc02844,1.0,1.0,1.0,el,8.0,20.0,0.4,en,8.0,26.0,0.3076923076923077,estructura,1.0,1.0,1.0,germany,13.0,56.0,0.23214285714285715,itza,36.0,17.0,2.117647058823529,la,1.0,73.0,0.0136986301369863,maya,9.0,10.0,0.9,mayan,15.0,13.0,1.1538461538461535,mexico,9.0,31.0,0.2903225806451613,méxico,17.0,4.0,4.25,noon,8.0,2.0,4.0,parte,1.0,9.0,0.1111111111111111,por,1.0,7.0,0.14285714285714285,ruina,1.0,2.0,0.5,sagrado,21.0,2.0,10.5,serpiente,3.0,2.0,1.5
10579466@N06,1,2,53,0.03773584905660377,10,1.0,37.0,0.027027027027027032,1107,1.0,1.0,1.0,115,1.0,3.0,0.3333333333333333,1200,2.0,7.0,0.2857142857142857,1200film,1.0,1.0,1.0,120film,1.0,1.0,1.0,14,1.0,28.0,0.03571428571428571,15,1.0,23.0,0.043478260869565216,1997,1.0,5.0,0.2,2,1.0,66.0,0.015151515151515154,2008,2.0,23.0,0.08695652173913042,2009,3.0,29.0,0.10344827586206896,2010,2.0,26.0,0.07692307692307693,2012,2.0,21.0,0.09523809523809523,3,1.0,59.0,0.01694915254237288,35mm,2.0,2.0,1.0,35mmfilm,4.0,1.0,4.0,522,1.0,1.0,1.0,angle,1.0,11.0,0.09090909090909093,awesome,1.0,4.0,0.25,best,1.0,24.0,0.04166666666666666,bird,1.0,16.0,0.0625,bloorstreet,1.0,1.0,1.0,blue,2.0,28.0,0.07142857142857142,bokeh,3.0,3.0,1.0,bokehheart,1.0,1.0,1.0,buller,1.0,1.0,1.0,bulleroid,1.0,1.0,1.0,c3po,2.0,1.0,2.0,camera,2.0,26.0,0.07692307692307693,canada,1.0,16.0,0.0625,canonef50mmf18ii,2.0,1.0,2.0,canonefs1022mmf3545usm,2.0,2.0,1.0,casa,1.0,47.0,0.02127659574468085,casaloma,1.0,1.0,1.0,city,6.0,67.0,0.08955223880597014,closer,1.0,7.0,0.14285714285714285,cloud,1.0,22.0,0.045454545454545456,cn,7.0,20.0,0.35
10684196@N04,2006,15,21,0.7142857142857143,5photosaday,3.0,2.0,1.5,archeology,13.0,4.0,3.25,chichen,17.0,17.0,1.0,chichenitza,15.0,14.0,1.0714285714285714,itza,17.0,17.0,1.0,maya,17.0,10.0,1.7,mayalandhotel,7.0,1.0,7.0,mayanruin,13.0,2.0,6.5,mexico,30.0,31.0,0.967741935483871,nunnery,3.0,4.0,0.75,petr,15.0,1.0,15.0,quot,4.0,83.0,0.04819277108433735,ruin,30.0,48.0,0.625,sculptedface,2.0,1.0,2.0,sculpture,2.0,68.0,0.029411764705882356,yucatan,30.0,11.0,2.727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10773765@N00,11,15,27,0.5555555555555556,12,15.0,27.0,0.5555555555555556,2013,15.0,16.0,0.9375,arizona,15.0,18.0,0.8333333333333334,castle,15.0,42.0,0.35714285714285715,montezuma,15.0,16.0,0.9375,monument,15.0,63.0,0.2380952380952381,national,15.0,47.0,0.3191489361702128,sightseeing,15.0,8.0,1.875,vision:clouds0606,1.0,1.0,1.0,vision:face099,1.0,6.0,0.16666666666666666,vision:mountain0583,1.0,1.0,1.0,vision:mountain0598,1.0,1.0,1.0,vision:mountain0623,1.0,1.0,1.0,vision:mountain0633,1.0,1.0,1.0,vision:outdoor0777,1.0,2.0,0.5,vision:outdoor0833,1.0,1.0,1.0,vision:outdoor0848,1.0,1.0,1.0,vision:outdoor0866,1.0,1.0,1.0,vision:outdoor0898,1.0,1.0,1.0,vision:outdoor0916,2.0,4.0,0.5,vision:outdoor0923,1.0,1.0,1.0,vision:outdoor0928,1.0,1.0,1.0,vision:outdoor0932,1.0,2.0,0.5,vision:outdoor0949,1.0,2.0,0.5,vision:outdoor0954,1.0,1.0,1.0,vision:outdoor0957,1.0,1.0,1.0,vision:outdoor0976,1.0,1.0,1.0,vision:outdoor099,1.0,16.0,0.0625,vision:people099,1.0,6.0,0.16666666666666666,vision:plant0539,1.0,1.0,1.0,vision:plant0622,1.0,2.0,0.5,vision:plant081,1.0,1.0,1.0,vision:plant0876,1.0,1.0,1.0,vision:sky0529,2.0,1.0,2.0,vision:sky0535,1.0,1.0,1.0,vision:sky0605,1.0,1.0,1.0,vision:sky0693,1.0,1.0,1.0,vision:sky0698,1.0,1.0,1.0,vision:sky0704,1.0,1.0,1.0
