Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66	Column67	Column68	Column69	Column70	Column71	Column72	Column73	Column74	Column75	Column76	Column77	Column78	Column79	Column80	Column81	Column82	Column83	Column84	Column85	Column86	Column87	Column88	Column89	Column90	Column91	Column92	Column93	Column94	Column95	Column96	Column97	Column98	Column99	Column100	Column101	Column102	Column103	Column104	Column105	Column106	Column107	Column108	Column109	Column110	Column111	Column112	Column113	Column114	Column115	Column116	Column117	Column118	Column119	Column120	Column121	Column122	Column123	Column124	Column125	Column126	Column127	Column128	Column129	Column130	Column131	Column132	Column133	Column134	Column135	Column136	Column137	Column138	Column139	Column140	Column141	Column142	Column143	Column144	Column145	Column146	Column147	Column148	Column149	Column150	Column151	Column152	Column153	Column154	Column155	Column156	Column157	Column158	Column159	Column160	Column161	Column162
10117222@N04	1	1	53	0.018867925	100	1	16	0.0625	101	1	4	0.25	108	1	3	0.333333333	214	1	1	1	216	1	1	1	220	1	3	0.333333333	221	1	2	0.5	222	1	2	0.5	229	1	1	1	230	1	1	1	231	1	2	0.5	234	1	1	1	235	1	1	1	236	1	2	0.5	240	1	1	1	246	1	1	1	262	1	2	0.5	266	1	1	1	27	1	15	0.066666667	39	1	8	0.125	47	1	5	0.2	54	1	4	0.25	70	1	13	0.076923077	72	1	7	0.142857143	81	1	5	0.2	84	1	1	1	93	1	1	1	94	1	4	0.25	97	1	2	0.5	bok	11	18	0.611111111	boktowergarden	4	13	0.307692308	cathedral	16	85	0.188235294	chartre	30	20	1.5	garden	11	44	0.25	japaneselantern	1	1	1	picture	15	37	0.405405405	snake	1	6	0.166666667	swan	2	4	0.5	tower	11	103	0.106796117	
10261566@N02	45	1	6	0.166666667	amphitheatre	10	6	1.666666667	amphitheatrum	10	4	2.5	amphitheatrumflavium	2	1	2	anfiteatro	10	4	2.5	arch	2	24	0.083333333	arkansa	1	1	1	art	2	48	0.041666667	coliseum	23	6	3.833333333	colosseo	10	5	2	colosseum	36	20	1.8	cross	1	20	0.05	fellow	1	2	0.5	flavian	10	7	1.428571429	flavianamphitheatre	13	3	4.333333333	flavio	10	4	2.5	flavium	10	5	2	ilcolosseo	2	1	2	imperialrome	1	1	1	inside	2	55	0.036363636	italia	11	15	0.733333333	italian	10	8	1.25	italy	13	31	0.419354839	julioclaudianartromanportraitureandcoin	2	1	2	latin	10	8	1.25	missouri	1	2	0.5	morning	1	15	0.066666667	mrgstravel	13	1	13	number	1	12	0.083333333	originally	10	26	0.384615385	portal	1	17	0.058823529	roma	13	22	0.590909091	roman	6	34	0.176470588	romancolosseum	11	1	11	romanempire	2	3	0.666666667	romanportrait	2	1	2	rome	13	40	0.325	sculpture	6	68	0.088235294	sun	1	26	0.038461538	trajan'	1	1	1	traveler
10288162@N07	20102405	1	1	1	24052010	1	1	1	abbatiale	8	1	8	abbaye	8	1	8	abbayededaoula	8	1	8	arc	19	22	0.863636364	arcdetriomphe	15	17	0.882352941	avenue	1	12	0.083333333	bretagne	8	1	8	brittany	8	1	8	car	1	16	0.0625	carrousel	2	8	0.25	champ	4	9	0.444444444	champselysees	2	2	1	champselysée	1	2	0.5	champsélysée	2	3	0.666666667	colimaçon	2	1	2	daoula	16	1	16	de	31	134	0.231343284	du	1	27	0.037037037	elysees	2	2	1	elysée	1	3	0.333333333	escalier	4	2	2	escargot	2	1	2	europe	15	43	0.348837209	europefrance	2	1	2	finistère	8	1	8	france	15	60	0.25	fz18	2	1	2	fz200	1	1	1	fz28	11	1	11	iledefrance	3	2	1.5	illumination	2	3	0.666666667	l'abbaye	8	1	8	light	2	50	0.04	lumiere	1	1	1	lumix	13	4	3.25	lumixfz200	1	1	1	lumixfz28	11	1	11	lumière	1	2	0.5	marche
10297518@N00	argentina	30	19	1.578947368	autonomouscityofbuenosaire	15	1	15	buenosaire	15	16	0.9375	casa	30	47	0.638297872	casarosada	15	18	0.833333333	ciudaddebuenosaire	15	1	15	de	15	134	0.111940299	del	15	16	0.9375	federal	15	8	1.875	gobierno	15	4	3.75	la	15	73	0.205479452	microcentro	15	2	7.5	monserrat	15	2	7.5	rosada	30	20	1.5	sede	15	4	3.75	southamerica	15	10	1.5	sudamerica	15	2	7.5																																																																																													
10298101@N05	arizona	15	18	0.833333333	castle	15	42	0.357142857	dsc_0043	1	1	1	dsc_0044	1	1	1	dsc_0045	1	1	1	dsc_0046	1	1	1	dsc_0047	1	1	1	dsc_0048	1	1	1	dsc_0049	1	1	1	dsc_0050	1	1	1	dsc_0052	1	1	1	dsc_0054	1	1	1	dsc_0057	1	1	1	dsc_0062	1	1	1	dsc_0063	1	1	1	dsc_0064	1	1	1	dsc_0065	1	1	1	montezuma	15	16	0.9375	montezumacastle	15	7	2.142857143	puebloruin	15	2	7.5	sinagua	15	5	3	springbreak2012	15	1	15																																																																									
10347442@N00	1100	15	5	3	1425	15	1	15	20room	15	1	15	apartment	15	5	3	arizona	15	18	0.833333333	beavercreek	15	1	15	built	15	50	0.3	castle	30	42	0.714285714	ce	15	6	2.5	cliff	30	14	2.142857143	culture	15	12	1.25	dwelling	15	8	1.875	limestone	30	10	3	montezuma	30	16	1.875	montezumacastlenationalmonument	15	4	3.75	monument	30	63	0.476190476	national	30	47	0.638297872	presidenttheodoreroosevelt	15	1	15	sinagua	30	5	6	southern	15	8	1.875	verdevalley	15	2	7.5	vision:car0507	1	1	1	vision:car0535	1	1	1	vision:clouds0546	1	1	1	vision:clouds0652	1	2	0.5	vision:clouds0688	1	1	1	vision:clouds0721	1	1	1	vision:mountain0564	1	1	1	vision:mountain0582	1	2	0.5	vision:mountain0593	1	1	1	vision:mountain0595	1	2	0.5	vision:mountain0648	1	1	1	vision:mountain0674	1	1	1	vision:mountain0713	1	1	1	vision:mountain0735	1	1	1	vision:mountain0762	1	1	1	vision:mountain0822	1	1	1	vision:mountain0823	1	1	1	vision:outdoor0891	1	1	1	vision:outdoor0911	1	1	1	vision:outdoor0917
10443569@N05	3octubre2007	1	1	1	alemania	26	6	4.333333333	anochecer	8	2	4	arqueológica	2	1	2	berlincathedral	15	7	2.142857143	berliner	13	14	0.928571429	berlinerdom	15	12	1.25	berlín	26	1	26	berlínalemaniaberlínalemaniagermany	1	1	1	berlínalemaniagermany	1	1	1	cabeza	2	2	1	catedral	10	5	2	catedraldeberlín	15	1	15	cathedral	5	85	0.058823529	cenote	21	3	7	chicheitza	15	1	15	chichen	36	17	2.117647059	de	7	134	0.052238806	destruida	1	1	1	detail	2	47	0.042553191	detalle	2	3	0.666666667	dom	18	24	0.75	dsc02843	1	1	1	dsc02844	1	1	1	el	8	20	0.4	en	8	26	0.307692308	estructura	1	1	1	germany	13	56	0.232142857	itza	36	17	2.117647059	la	1	73	0.01369863	maya	9	10	0.9	mayan	15	13	1.153846154	mexico	9	31	0.290322581	méxico	17	4	4.25	noon	8	2	4	parte	1	9	0.111111111	por	1	7	0.142857143	ruina	1	2	0.5	sagrado	21	2	10.5	serpiente	3	2	1.5	tarde
10579466@N06	1	2	53	0.037735849	10	1	37	0.027027027	1107	1	1	1	115	1	3	0.333333333	1200	2	7	0.285714286	1200film	1	1	1	120film	1	1	1	14	1	28	0.035714286	15	1	23	0.043478261	1997	1	5	0.2	2	1	66	0.015151515	2008	2	23	0.086956522	2009	3	29	0.103448276	2010	2	26	0.076923077	2012	2	21	0.095238095	3	1	59	0.016949153	35mm	2	2	1	35mmfilm	4	1	4	522	1	1	1	angle	1	11	0.090909091	awesome	1	4	0.25	best	1	24	0.041666667	bird	1	16	0.0625	bloorstreet	1	1	1	blue	2	28	0.071428571	bokeh	3	3	1	bokehheart	1	1	1	buller	1	1	1	bulleroid	1	1	1	c3po	2	1	2	camera	2	26	0.076923077	canada	1	16	0.0625	canonef50mmf18ii	2	1	2	canonefs1022mmf3545usm	2	2	1	casa	1	47	0.021276596	casaloma	1	1	1	city	6	67	0.089552239	closer	1	7	0.142857143	cloud	1	22	0.045454545	cn	7	20	0.35	cntower
10684196@N04	2006	15	21	0.714285714	5photosaday	3	2	1.5	archeology	13	4	3.25	chichen	17	17	1	chichenitza	15	14	1.071428571	itza	17	17	1	maya	17	10	1.7	mayalandhotel	7	1	7	mayanruin	13	2	6.5	mexico	30	31	0.967741935	nunnery	3	4	0.75	petr	15	1	15	quot	4	83	0.048192771	ruin	30	48	0.625	sculptedface	2	1	2	sculpture	2	68	0.029411765	yucatan	30	11	2.727272727																																																																																													
10773765@N00	11	15	27	0.555555556	12	15	27	0.555555556	2013	15	16	0.9375	arizona	15	18	0.833333333	castle	15	42	0.357142857	montezuma	15	16	0.9375	monument	15	63	0.238095238	national	15	47	0.319148936	sightseeing	15	8	1.875	vision:clouds0606	1	1	1	vision:face099	1	6	0.166666667	vision:mountain0583	1	1	1	vision:mountain0598	1	1	1	vision:mountain0623	1	1	1	vision:mountain0633	1	1	1	vision:outdoor0777	1	2	0.5	vision:outdoor0833	1	1	1	vision:outdoor0848	1	1	1	vision:outdoor0866	1	1	1	vision:outdoor0898	1	1	1	vision:outdoor0916	2	4	0.5	vision:outdoor0923	1	1	1	vision:outdoor0928	1	1	1	vision:outdoor0932	1	2	0.5	vision:outdoor0949	1	2	0.5	vision:outdoor0954	1	1	1	vision:outdoor0957	1	1	1	vision:outdoor0976	1	1	1	vision:outdoor099	1	16	0.0625	vision:people099	1	6	0.166666667	vision:plant0539	1	1	1	vision:plant0622	1	2	0.5	vision:plant081	1	1	1	vision:plant0876	1	1	1	vision:sky0529	2	1	2	vision:sky0535	1	1	1	vision:sky0605	1	1	1	vision:sky0693	1	1	1	vision:sky0698	1	1	1	vision:sky0704	1	1	1	vision:sunset061
11116554@N08	2008	15	23	0.652173913	25	15	23	0.652173913	angkor	60	20	3	angkorwat	14	20	0.7	angkorwatpanorama	1	1	1	apsara	4	2	2	boy	1	6	0.166666667	cambodia	30	20	1.5	fan	1	7	0.142857143	girl	1	9	0.111111111	hdr	11	12	0.916666667	naga	2	1	2	october	15	17	0.882352941	panorama	11	19	0.578947368	reap	15	7	2.142857143	siem	15	7	2.142857143	siemreap	15	16	0.9375	sword	1	4	0.25	temple	15	47	0.319148936	wat	30	20	1.5																																																																																	
11136034@N06	103	1	1	1	110	1	4	0.25	113	1	7	0.142857143	117	1	3	0.333333333	119	1	1	1	121	1	3	0.333333333	122	1	1	1	125	1	2	0.5	132	1	1	1	6	1	34	0.029411765	95	1	3	0.333333333	alban	16	3	5.333333333	albán	2	1	2	apostol	1	1	1	archeology	14	4	3.5	aztec	14	18	0.777777778	ball	14	7	2	catholic	1	9	0.111111111	church	1	39	0.025641026	convento	1	1	1	court	14	13	1.076923077	cuilapan	2	1	2	cuilapandeguerrero	1	1	1	de	3	134	0.02238806	exconventodesantiagoapostol	1	1	1	guerrero	2	2	1	maya	14	10	1.4	mexico	15	31	0.483870968	monte	18	4	4.5	oaxaca	27	4	6.75	olmec	14	2	7	precolumbian	14	1	14	ruin	15	48	0.3125	santiago	1	3	0.333333333	temple	14	47	0.29787234	zapotec	14	2	7																	
11561957@N06	040311	11	1	11	042	1	2	0.5	050	1	2	0.5	050410	2	1	2	05042010	2	1	2	08	1	8	0.125	150711	2	1	2	1546	1	1	1	160912	1	1	1	1613	1	1	1	1659	1	1	1	1665	1	1	1	1678	1	1	1	16eme	1	1	1	16emearrondissement	1	1	1	17	15	28	0.535714286	170912	15	1	15	1762	1	1	1	1764	1	2	0.5	1769	1	2	0.5	1782	1	1	1	1791	1	2	0.5	1798	1	3	0.333333333	1806	11	3	3.666666667	180912	1	1	1	1815	1	3	0.333333333	1836	10	5	2	1838	1	2	0.5	1845	1	5	0.2	1850	1	5	0.2	1851	1	6	0.166666667	1853	2	3	0.666666667	1863	11	4	2.75	1871	12	2	6	1892	15	4	3.75	1896	15	9	1.666666667	1900	15	9	1.666666667	1929	1	2	0.5	200912	13	1	13	4	1	43	0.023255814	80
11569205@N08	aztec	30	18	1.666666667	geo:lat3683342177	1	1	1	geo:lat3683490437	1	1	1	geo:lat3683502018	1	1	1	geo:lat3683526273	1	1	1	geo:lat3683527372	1	1	1	geo:lat3683528080	1	1	1	geo:lat3683528205	1	1	1	geo:lat3683528495	1	1	1	geo:lat3683528803	1	1	1	geo:lat3683543683	1	1	1	geo:lat3683544048	1	1	1	geo:lat3683545905	1	1	1	geo:lat3683546107	1	1	1	geo:lat3683553033	1	1	1	geo:lat3683555565	1	1	1	geo:lon10799918540	1	1	1	geo:lon10799923058	1	1	1	geo:lon10799945412	1	1	1	geo:lon10799969088	1	1	1	geo:lon10799971268	1	1	1	geo:lon10799971943	1	1	1	geo:lon10799972212	1	1	1	geo:lon10799974082	1	1	1	geo:lon10799995442	1	1	1	geo:lon10799997205	1	1	1	geo:lon10799997287	1	1	1	geo:lon10799998638	1	1	1	geo:lon10799998913	1	1	1	geo:lon10800027168	1	1	1	geo:lon10800065118	1	1	1	geotagged	15	21	0.714285714	lizard	1	2	0.5	monument	14	63	0.222222222	national	14	47	0.29787234	newmexico	15	10	1.5	ruin	15	48	0.3125	unitedstate	15	5	3	usa	15	14	1.071428571	vision:clouds0518	1	1	1	vision:clouds0539
11625451@N02	1	1	53	0.018867925	10	2	37	0.054054054	11	1	27	0.037037037	2	1	66	0.015151515	33	1	6	0.166666667	4	1	43	0.023255814	5	1	41	0.024390244	6	1	34	0.029411765	7	1	22	0.045454545	8	1	23	0.043478261	9	1	20	0.05	alte	15	23	0.652173913	altesmuseum	13	13	1	berlijn	15	2	7.5	berlijnhenkjan	12	1	12	berlin	30	65	0.461538462	betende	1	2	0.5	bodemuseum	2	1	2	der	1	19	0.052631579	deutschland	15	25	0.6	duitsland	15	3	5	fotoshenkjansony	3	1	3	germany	15	56	0.267857143	knabe	1	2	0.5	koepel	1	1	1	museum	15	67	0.223880597	sculpture	15	68	0.220588235	sculptuur	15	1	15																																																	
11962371@N00	al	18	12	1.5	ara	12	14	0.857142857	ara_pacis_marzetti06.09	1	1	1	arapaci	14	14	1	architect	14	23	0.608695652	architecture	7	70	0.1	architettura	8	5	1.6	archiwatch	14	1	14	battesimo	18	1	18	chiameremo	18	1	18	coji	4	1	4	colonna	2	1	2	delirio	18	1	18	della	2	1	2	dell’ara	18	1	18	eureka	2	2	1	finalmente	2	3	0.666666667	folla	18	1	18	giorgio	10	1	10	giorgiomuratore	7	1	7	grande	2	12	0.166666667	ha	2	2	1	il	2	10	0.2	la	20	73	0.273972603	meier	9	3	3	muratore	13	1	13	musica	2	1	2	nuova	2	1	2	n’do	2	1	2	paci	12	16	0.75	problema	2	1	2	profezie	4	1	4	richardmeier	7	5	1.4	risolto	2	1	2	romana	2	2	1	sovrintendenza	2	1	2	surreali	4	1	4	sòla	18	1	18									
12071889@N00	began	1	16	0.0625	cathedral	18	85	0.211764706	chartre	17	20	0.85	chartresenlumiere	14	1	14	cold	1	7	0.142857143	colour	1	9	0.111111111	france	15	60	0.25	gothic	1	26	0.038461538	horribly	1	1	1	late	1	22	0.045454545	light	1	50	0.02	marvellous	1	1	1	night	2	41	0.048780488	north	1	64	0.015625	portal	1	17	0.058823529																																																																																																					
12195365@N04	10	15	37	0.405405405	abbey	15	11	1.363636364	aquarium	15	5	3	ben	15	22	0.681818182	benhouse	15	1	15	big	30	32	0.9375	chinatown	15	1	15	downing	15	2	7.5	eye	15	20	0.75	guard	15	7	2.142857143	horse	15	11	1.363636364	house	15	52	0.288461538	life	15	19	0.789473684	london	15	38	0.394736842	parade	15	4	3.75	parliament	30	15	2	sea	15	19	0.789473684	square	15	25	0.6	street	15	40	0.375	trinity	15	3	5	westminster	15	16	0.9375	westminter	15	1	15	whitehall	15	8	1.875																																																																					
12289625@N04	chichen	45	17	2.647058824	itza	45	17	2.647058824	maya	45	10	4.5	mayan	15	13	1.153846154	mejico	15	1	15	mexico	15	31	0.483870968	riviera	45	1	45																																																																																																																																					
12413207@N03	albert	16	22	0.727272727	albertmemorial	15	15	1	camera	14	26	0.538461538	d300	2	4	0.5	demo	1	2	0.5	england	15	23	0.652173913	face	1	22	0.045454545	flickrexport	1	1	1	flickrexportdemo	1	1	1	href	1	119	0.008403361	http:connectedflow.comflickrexport	1	1	1	hydepark	15	7	2.142857143	kensingtongarden	13	8	1.625	london	15	38	0.394736842	memorial	15	29	0.517241379	nikon	2	21	0.095238095	nofollow	1	83	0.012048193	panasoniclumixtz10	13	1	13	park	15	32	0.46875	rel	1	83	0.012048193	sigma1020f456	2	1	2	travel	15	35	0.428571429	uploaded	1	3	0.333333333	version	1	16	0.0625																																																																	
12487815@N05	645	1	1	1	647	1	1	1	658	1	1	1	659	1	1	1	661	1	1	1	662	1	1	1	663	1	2	0.5	664	1	1	1	668	1	1	1	670	1	1	1	672	1	1	1	673	1	1	1	677	1	1	1	678	1	1	1	681	1	2	0.5	couldn't	1	5	0.2	day	1	51	0.019607843	dell'ara	15	4	3.75	hot	1	8	0.125	italia	15	15	1	italy	15	31	0.483870968	museo	15	10	1.5	museodellarapaci	15	2	7.5	paci	15	16	0.9375	resist	1	2	0.5	roma	15	22	0.681818182	rome	15	40	0.375																																																					
12494041@N00	albert	3	22	0.136363636	albertmemorial	15	15	1	hall	1	38	0.026315789	italiangarden	15	1	15	kensingtongarden	15	8	1.875	london	15	38	0.394736842	memorial	2	29	0.068965517	p1150145	1	1	1	p1150151	1	1	1	p1150173	1	1	1	p1170218	1	1	1	p1170220	1	1	1	p1170225	1	1	1	p1170235	1	1	1	p1170258	1	1	1	p1170276	1	1	1	p1170277	1	1	1	p1170279	1	1	1	p1170280	1	1	1	peterpan	15	2	7.5	physicalenergy	15	1	15	queensgate	15	1	15	rinaldo	15	1	15	royal	1	23	0.043478261																																																																	
12694900@N08	112	5	2	2.5	118	24	1	24	137	5	1	5	138	5	2	2.5	151	5	1	5	152	5	1	5	1535	10	1	10	1557	10	1	10	1578	10	1	10	1741	10	2	5	1779	15	1	15	181	8	1	8	1841	10	4	2.5	186	5	2	2.5	1896	20	9	2.222222222	1912	31	1	31	1916	5	2	2.5	1921	25	3	8.333333333	1945	15	5	3	1950	20	4	5	1956	10	3	3.333333333	1957	10	2	5	1960	10	3	3.333333333	1963	10	2	5	1964	46	2	23	1967	10	1	10	1974	42	1	42	1977	15	3	5	1980	24	3	8	1984	40	1	40	1985	26	1	26	1986	10	2	5	1990	5	5	1	1992	10	3	3.333333333	1994	5	2	2.5	1997	5	5	1	1998	16	3	5.333333333	200	10	6	1.666666667	2002	16	5	3.2	2003	16	6	2.666666667	2004
12982516@N02	007	1	4	0.25	008	1	4	0.25	009	1	3	0.333333333	014	1	4	0.25	020	1	4	0.25	025	1	5	0.2	026	1	6	0.166666667	1350	1	2	0.5	136	1	1	1	159	1	1	1	18th	1	4	0.25	18thdynasty	1	1	1	197	1	1	1	1990	8	5	1.6	2009	3	29	0.103448276	2011	23	23	1	213	1	1	1	22	4	18	0.222222222	227	1	2	0.5	241	1	1	1	280	1	1	1	282	1	1	1	3	2	59	0.033898305	308	1	2	0.5	4	1	43	0.023255814	47	1	5	0.2	5	1	41	0.024390244	6	1	34	0.029411765	64	1	4	0.25	65	1	5	0.2	7	1	22	0.045454545	85	1	4	0.25	86	1	2	0.5	akhenaten	3	4	0.75	altar	1	19	0.052631579	amarna	3	3	1	ancientegypt	1	2	0.5	aten	1	1	1	atensungod	1	1	1	aton	1	2	0.5	b.c
13597419@N00	2008	3	23	0.130434783	alex	1	1	1	alexanderplatz	1	5	0.2	amp	1	29	0.034482759	baroque	3	4	0.75	berlin	23	65	0.353846154	berlincathedral	7	7	1	berlindom	1	1	1	berliner	2	14	0.142857143	berlinerdom	6	12	0.5	berlinmitte	1	5	0.2	blue	2	28	0.071428571	cathedral	20	85	0.235294118	color	3	15	0.2	cupola	2	3	0.666666667	deutscherdom	2	1	2	dom	3	24	0.125	festival	4	6	0.666666667	festivaloflight	7	3	2.333333333	fol	5	2	2.5	friedrichsbridge	1	1	1	gendarmenmarkt	3	5	0.6	geo:lat52521574	1	1	1	geo:lon13399436	1	1	1	geotagged	1	21	0.047619048	german	2	18	0.111111111	germancathedral	2	1	2	germany	7	56	0.125	href	2	119	0.016806723	http:maps.google.com	1	2	0.5	http:www.flickr.comgroupsgeotaggingdiscuss72157594165549916	1	3	0.333333333	illumination	4	3	1.333333333	jesus	1	6	0.166666667	light	7	50	0.14	lighting	4	9	0.444444444	longexposure	6	3	2	lowlight	3	1	3	martin	11	3	3.666666667	martinbiskoping	11	1	11	monbijoupark	1	1	1	monument
13818951@N08	ambulatory	1	1	1	annemarie	1	1	1	cathederal	5	2	2.5	cathedral	7	85	0.082352941	chartre	15	20	0.75	chartrescathedral	15	4	3.75	façade	3	6	0.5	france	15	60	0.25	glass	1	36	0.027777778	rood	1	1	1	screen	1	8	0.125	south	3	53	0.056603774	stained	1	21	0.047619048	window	1	49	0.020408163																																																																																																									
14057878@N00	angel	15	27	0.555555556	angelofthenorth	15	13	1.153846154	armpit	1	2	0.5	bw	1	12	0.083333333	gateshead	15	14	1.071428571	lara	1	2	0.5	moocardsone	2	1	2	newcastle	15	4	3.75	sculpture	15	68	0.220588235	zotz	2	1	2																																																																																																																									
14265068@N00	2973783529	1	1	1	2973786433	1	1	1	2973792977	1	1	1	2973795209	1	1	1	2973797889	1	1	1	2973809637	1	1	1	2973812827	1	1	1	2974629162	1	1	1	2974633342	1	1	1	2974641394	1	1	1	2974643492	1	1	1	2974658470	1	1	1	2974660580	1	1	1	2974663894	1	1	1	2974669464	1	1	1	colosseum	45	20	2.25	flickr	15	8	1.875	geo:lat4188914	1	1	1	geo:lat41890038	1	1	1	geo:lat41890098	1	1	1	geo:lat41890126	1	1	1	geo:lat41890178	1	1	1	geo:lat41890294	1	1	1	geo:lat41890302	1	1	1	geo:lat41890378	1	1	1	geo:lat4189039	1	1	1	geo:lat41890408	1	1	1	geo:lat4189041	1	1	1	geo:lat41890422	1	1	1	geo:lat41890446	1	1	1	geo:lat41890633	1	1	1	geo:lat41890789	1	1	1	geo:lon12491546	1	1	1	geo:lon12491552	1	1	1	geo:lon12491595	1	1	1	geo:lon124916	1	1	1	geo:lon12491691	1	1	1	geo:lon12491702	1	1	1	geo:lon12491723	1	1	1	geo:lon12491772	1	1	1	geo:lon12491863
